2025-05-18 18:10:44,763 - MapData - INFO - マップデータの読み込みを開始: /Users/eightman/Documents/Paradox Interactive/Hearts of Iron IV/mod/SSW_mod
2025-05-18 18:10:44,764 - MapData - INFO - プロヴィンス定義ファイルを読み込み中: /Users/eightman/Documents/Paradox Interactive/Hearts of Iron IV/mod/SSW_mod/map/definition.csv
2025-05-18 18:10:44,766 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=1, RGB=(230,81,119), タイプ=lake, 沿岸=False
2025-05-18 18:10:44,766 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=2, RGB=(0,0,55), タイプ=land, 沿岸=False
2025-05-18 18:10:44,767 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=3, RGB=(0,0,205), タイプ=land, 沿岸=False
2025-05-18 18:10:44,767 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=4, RGB=(0,0,232), タイプ=sea, 沿岸=True
2025-05-18 18:10:44,767 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=5, RGB=(0,2,240), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,767 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=6, RGB=(0,3,20), タイプ=land, 沿岸=False
2025-05-18 18:10:44,767 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=7, RGB=(0,3,170), タイプ=land, 沿岸=False
2025-05-18 18:10:44,767 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=8, RGB=(0,3,225), タイプ=land, 沿岸=False
2025-05-18 18:10:44,767 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=9, RGB=(0,4,248), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,767 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=10, RGB=(0,6,85), タイプ=land, 沿岸=False
2025-05-18 18:10:44,767 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=11, RGB=(0,6,135), タイプ=land, 沿岸=False
2025-05-18 18:10:44,767 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=12, RGB=(0,6,190), タイプ=land, 沿岸=False
2025-05-18 18:10:44,768 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=13, RGB=(0,8,244), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,768 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=14, RGB=(0,9,155), タイプ=land, 沿岸=True
2025-05-18 18:10:44,768 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=15, RGB=(0,9,200), タイプ=land, 沿岸=False
2025-05-18 18:10:44,768 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=16, RGB=(0,10,232), タイプ=sea, 沿岸=True
2025-05-18 18:10:44,768 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=17, RGB=(0,12,15), タイプ=land, 沿岸=False
2025-05-18 18:10:44,768 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=18, RGB=(0,12,165), タイプ=land, 沿岸=False
2025-05-18 18:10:44,768 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=19, RGB=(0,12,240), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,768 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=20, RGB=(0,14,248), タイプ=sea, 沿岸=True
2025-05-18 18:10:44,769 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=21, RGB=(0,15,80), タイプ=land, 沿岸=True
2025-05-18 18:10:44,769 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=22, RGB=(0,15,130), タイプ=land, 沿岸=True
2025-05-18 18:10:44,769 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=23, RGB=(0,15,185), タイプ=land, 沿岸=False
2025-05-18 18:10:44,769 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=24, RGB=(0,15,236), タイプ=sea, 沿岸=True
2025-05-18 18:10:44,769 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=25, RGB=(0,17,244), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,769 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=26, RGB=(0,18,45), タイプ=land, 沿岸=False
2025-05-18 18:10:44,770 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=27, RGB=(0,18,150), タイプ=land, 沿岸=False
2025-05-18 18:10:44,770 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=28, RGB=(0,19,240), タイプ=sea, 沿岸=True
2025-05-18 18:10:44,770 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=29, RGB=(0,20,248), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,770 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=30, RGB=(0,21,10), タイプ=land, 沿岸=False
2025-05-18 18:10:44,770 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=31, RGB=(0,21,65), タイプ=land, 沿岸=False
2025-05-18 18:10:44,770 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=32, RGB=(0,21,215), タイプ=land, 沿岸=False
2025-05-18 18:10:44,770 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=33, RGB=(0,22,236), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,771 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=34, RGB=(0,23,244), タイプ=sea, 沿岸=True
2025-05-18 18:10:44,772 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=35, RGB=(0,24,30), タイプ=land, 沿岸=False
2025-05-18 18:10:44,772 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=36, RGB=(0,24,75), タイプ=land, 沿岸=False
2025-05-18 18:10:44,772 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=37, RGB=(0,24,180), タイプ=land, 沿岸=False
2025-05-18 18:10:44,772 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=38, RGB=(0,27,40), タイプ=land, 沿岸=True
2025-05-18 18:10:44,772 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=39, RGB=(0,27,95), タイプ=land, 沿岸=False
2025-05-18 18:10:44,772 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=40, RGB=(0,27,145), タイプ=land, 沿岸=False
2025-05-18 18:10:44,772 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=41, RGB=(0,27,248), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,772 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=42, RGB=(0,28,236), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,773 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=43, RGB=(0,29,244), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,773 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=44, RGB=(0,30,5), タイプ=land, 沿岸=True
2025-05-18 18:10:44,773 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=45, RGB=(0,30,60), タイプ=land, 沿岸=False
2025-05-18 18:10:44,773 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=46, RGB=(0,30,210), タイプ=land, 沿岸=False
2025-05-18 18:10:44,773 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=47, RGB=(0,31,232), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,773 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=48, RGB=(0,32,240), タイプ=sea, 沿岸=True
2025-05-18 18:10:44,773 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=49, RGB=(0,33,25), タイプ=land, 沿岸=False
2025-05-18 18:10:44,773 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=50, RGB=(0,33,248), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,773 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=51, RGB=(0,34,236), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,773 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=52, RGB=(0,36,90), タイプ=land, 沿岸=False
2025-05-18 18:10:44,774 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=53, RGB=(0,36,195), タイプ=land, 沿岸=True
2025-05-18 18:10:44,774 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=54, RGB=(0,36,244), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,774 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=55, RGB=(0,37,232), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,774 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=56, RGB=(0,38,240), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,774 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=57, RGB=(0,39,55), タイプ=land, 沿岸=False
2025-05-18 18:10:44,774 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=58, RGB=(0,39,205), タイプ=land, 沿岸=False
2025-05-18 18:10:44,774 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=59, RGB=(0,39,248), タイプ=sea, 沿岸=False
2025-05-18 18:10:44,774 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=60, RGB=(0,42,20), タイプ=land, 沿岸=False
2025-05-18 18:10:44,774 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=61, RGB=(0,42,170), タイプ=land, 沿岸=False
2025-05-18 18:10:44,775 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=62, RGB=(0,42,225), タイプ=land, 沿岸=False
2025-05-18 18:10:44,775 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=63, RGB=(0,45,85), タイプ=land, 沿岸=False
2025-05-18 18:10:44,775 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=64, RGB=(0,45,135), タイプ=land, 沿岸=True
2025-05-18 18:10:44,775 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=65, RGB=(0,45,190), タイプ=land, 沿岸=True
2025-05-18 18:10:44,775 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=66, RGB=(0,48,50), タイプ=land, 沿岸=True
2025-05-18 18:10:44,775 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=67, RGB=(0,48,155), タイプ=land, 沿岸=False
2025-05-18 18:10:44,776 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=68, RGB=(0,51,15), タイプ=land, 沿岸=True
2025-05-18 18:10:44,776 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=69, RGB=(0,51,70), タイプ=land, 沿岸=False
2025-05-18 18:10:44,776 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=70, RGB=(0,51,220), タイプ=land, 沿岸=False
2025-05-18 18:10:44,776 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=71, RGB=(0,54,35), タイプ=land, 沿岸=False
2025-05-18 18:10:44,777 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=72, RGB=(0,54,185), タイプ=land, 沿岸=False
2025-05-18 18:10:44,777 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=73, RGB=(0,57,0), タイプ=land, 沿岸=False
2025-05-18 18:10:44,777 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=74, RGB=(0,57,45), タイプ=land, 沿岸=False
2025-05-18 18:10:44,777 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=75, RGB=(0,57,150), タイプ=land, 沿岸=False
2025-05-18 18:10:44,777 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=76, RGB=(0,60,10), タイプ=land, 沿岸=False
2025-05-18 18:10:44,777 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=77, RGB=(0,60,65), タイプ=land, 沿岸=False
2025-05-18 18:10:44,777 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=78, RGB=(0,60,215), タイプ=land, 沿岸=False
2025-05-18 18:10:44,777 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=79, RGB=(0,63,30), タイプ=land, 沿岸=False
2025-05-18 18:10:44,777 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=80, RGB=(0,63,180), タイプ=land, 沿岸=False
2025-05-18 18:10:44,778 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=81, RGB=(0,66,95), タイプ=land, 沿岸=False
2025-05-18 18:10:44,778 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=82, RGB=(0,66,145), タイプ=land, 沿岸=False
2025-05-18 18:10:44,778 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=83, RGB=(0,66,200), タイプ=land, 沿岸=True
2025-05-18 18:10:44,778 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=84, RGB=(0,69,60), タイプ=land, 沿岸=False
2025-05-18 18:10:44,780 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=85, RGB=(0,69,165), タイプ=land, 沿岸=False
2025-05-18 18:10:44,780 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=86, RGB=(0,69,210), タイプ=land, 沿岸=True
2025-05-18 18:10:44,780 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=87, RGB=(0,72,25), タイプ=land, 沿岸=False
2025-05-18 18:10:44,780 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=88, RGB=(0,72,130), タイプ=land, 沿岸=False
2025-05-18 18:10:44,780 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=89, RGB=(0,72,175), タイプ=land, 沿岸=False
2025-05-18 18:10:44,780 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=90, RGB=(0,75,90), タイプ=land, 沿岸=False
2025-05-18 18:10:44,781 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=91, RGB=(0,75,140), タイプ=land, 沿岸=True
2025-05-18 18:10:44,783 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=92, RGB=(0,78,55), タイプ=land, 沿岸=False
2025-05-18 18:10:44,783 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=93, RGB=(0,78,160), タイプ=land, 沿岸=False
2025-05-18 18:10:44,783 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=94, RGB=(0,81,20), タイプ=land, 沿岸=True
2025-05-18 18:10:44,783 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=95, RGB=(0,81,75), タイプ=land, 沿岸=False
2025-05-18 18:10:44,783 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=96, RGB=(0,81,225), タイプ=land, 沿岸=False
2025-05-18 18:10:44,783 - MapData - DEBUG - プロヴィンス定義を読み込み: ID=97, RGB=(0,84,40), タイプ=land, 沿岸=False
